Variable,Question,Encoding,,,,
ID,,As indicated,,,,
age,Edad,As indicated,,,,
sex,Kasarian (pumili ng isa),0 = Babae,1 = Lalaki,,,
occupation,Tabaho,As indicated,,,,
monthly_income,Tinatayang buwanang kita (pumili ng isa),1 = <10k,2 = 10k-20k,3 = 20k-30k,4 = >30k,
personal_dengue,Nagka-dengue ka ba sa nakaraang 12 buean?,0 = Hindi,1 = Oo,,,
family_dengue,May nagka-dengue ba sa inyong pamilya sa nakaraang 12 buwan?,0 = Hindi,1 = Oo,,,
susceptibility,Nakatira ako sa lugar kung saan posible akong magka-dengue,1 = Lubhang hindi sumasang-ayon,2 = Hindi sumasang-ayon,3 = Neutral,4 = Sumasang-ayon,5 = Lubhang sumasang-ayon
severity,Malubhang karamdaman ang dengue,1 = Lubhang hindi sumasang-ayon,2 = Hindi sumasang-ayon,3 = Neutral,4 = Sumasang-ayon,5 = Lubhang sumasang-ayon
benefits,Nakakatulong labanan ang dengue gamit ang ovi-larvicidal traps,1 = Lubhang hindi sumasang-ayon,2 = Hindi sumasang-ayon,3 = Neutral,4 = Sumasang-ayon,5 = Lubhang sumasang-ayon
barriers,Wala akong sapat na pera at oras para sa pangontra sa lamok at dengue,1 = Lubhang hindi sumasang-ayon,2 = Hindi sumasang-ayon,3 = Neutral,4 = Sumasang-ayon,5 = Lubhang sumasang-ayon
cues,Naglinis ako ng pwedeng pamugaran ng lamok dahil sa ovi-larvicidal traps,1 = Lubhang hindi sumasang-ayon,2 = Hindi sumasang-ayon,3 = Neutral,4 = Sumasang-ayon,5 = Lubhang sumasang-ayon
efficacy,Kaya kong kontrahin ang posibilidad ng dengue sa aming tahanan,1 = Lubhang hindi sumasang-ayon,2 = Hindi sumasang-ayon,3 = Neutral,4 = Sumasang-ayon,5 = Lubhang sumasang-ayon
understanding,Ano sa pagkakaintindi mo ang ginagawa ng ovi-larvicidal traps?,Thematized,,,,
helpfulness_of_EWARS,"Sa iyong palagay, nakatutulong ba ang dengue early warning systems? Bakit o bakit hindi?",Thematized,,,,
type_of_mosq,"Alam mo ba anong klase ng lamok ang nagdudulot ng dengue? Kung oo, ano?",Thematized,,,,
mosq_place,Anong klase lugar madalas mamugad at mangitlog ang mga lamok?,Thematized,,,,
